sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Delphi (programming language),0.2890625,0.00244441826675572,24,3,5,0.013297872340425532,0.001087575635650084
Java version history,0.2361111111111111,0.0013349333167038348,18,3,5,0.0026595744680851063,0.0006257962882653822
Abstraction (software engineering),0.5528846153846154,0.006176620436536368,52,3,5,0.010638297872340425,0.0018819043312951673
Compiler,0.37944162436548223,0.027698373979354853,394,3,5,0.0797872340425532,0.010223500335846828
LLVM,0.234375,0.00325577230554676,28,3,5,0.010638297872340425,0.0007761620264815057
Information theory,0.6333333333333333,0.004396591167923975,30,3,5,0.010638297872340425,0.0034054245213380675
Orbit,0.5991379310344828,0.004225923036799658,29,3,5,0.015957446808510637,0.005649846921657403
C++,-1,-1,-1,-1,-1,0.09308510638297872,0.004491792418482219
Comet,0.6956521739130435,0.003742484367484368,23,3,5,0.015957446808510637,0.009511441180892855
Intel C++ Compiler,0.5,0.030303030303030304,1,2,2,0.0026595744680851063,0.0006389116937305108
Google,0.3224431818181818,0.00542664509195616,88,3,5,0.013297872340425532,0.0022413263293617385
Design Patterns,0.3472222222222222,0.0013095083872458344,9,3,5,0.0026595744680851063,0.0005961493275630338
Bjarne Stroustrup,0.2916666666666667,0.030621831340222144,6,2,5,0.005319148936170213,0.0007593052619837737
Inferno (operating system),0.19318181818181818,0.0016311647553114142,11,3,5,0.0026595744680851063,0.0006871851191686082
This (computer programming),0.3705357142857143,0.0015046765406456688,28,3,5,0.0026595744680851063,0.0007305692330175347
Imperative mood,0.5166666666666667,0.005204065195844007,45,3,5,0.005319148936170213,0.0011547617513265674
Space exploration,0.703125,0.005886664261664261,16,3,5,0.015957446808510637,0.0035613723315797772
Edgar F. Codd,0.55625,0.005538219496552829,20,3,5,0.015957446808510637,0.0022849206489496364
Lisp (programming language),0.38392857142857145,0.004725912071781945,112,3,5,0.02127659574468085,0.0024628576401570707
Robotic spacecraft,0.7045454545454546,0.002713143338143338,11,3,5,0.007978723404255319,0.0019295198560679286
Concept (generic programming),0.20089285714285715,0.0016283094244376763,14,3,5,0.005319148936170213,0.0007165428958162967
Scala (programming language),0.24118589743589744,0.0034992973866186544,78,3,5,0.018617021276595744,0.0011498740789103014
Space probe,0.75,0.03036862127771219,2,2,5,0.013297872340425532,0.004402627395294439
Source code,0.41795865633074936,0.03498536090453379,387,3,5,0.07446808510638298,0.015712661775837085
Freely redistributable software,0.5,0.0016835016835016834,1,3,3,0.0026595744680851063,0.0005550888077789794
Accounting software,0.36574074074074076,0.00443466771504659,27,3,5,0.005319148936170213,0.0015946428937179586
Public switched telephone network,0.5,0.00505050505050505,2,3,4,0.005319148936170213,0.0008595569047297625
Bit,0.7348484848484849,0.003509582543017542,33,3,5,0.023936170212765957,0.0029515719726888228
Apple Inc.,0.44694767441860467,0.029690917853728942,258,3,5,0.0425531914893617,0.010889953254727627
Objective-C,0.24456521739130435,0.0058206458576329275,69,3,5,0.018617021276595744,0.0010285672677004772
Embedded system,0.4934210526315789,0.010816439488626253,171,3,5,0.0425531914893617,0.003518355929761666
Randomized algorithm,0.37962962962962965,0.006169985129497981,27,3,5,0.005319148936170213,0.005547942542694353
New Jersey,0.36538461538461536,0.002026421672307462,13,3,5,0.005319148936170213,0.0008332202455993502
Computational science,0.4419642857142857,0.0049862156977084375,56,3,5,0.013297872340425532,0.0019517007562191286
Generic function,0.3472222222222222,0.0013095083872458344,9,3,5,0.0026595744680851063,0.0005961493275630338
Telephone call,0.75,0.00505050505050505,2,3,4,0.005319148936170213,0.000807800486405706
GNU Compiler Collection,0.23125,0.033008003854964635,30,2,5,0.015957446808510637,0.0012529802663286084
PHP,0.3776595744680851,0.0017635009671442131,47,3,5,0.005319148936170213,0.0008838836270976584
Online advertising,0.575,0.0039457209976764785,10,3,5,0.005319148936170213,0.0009255078702547112
C,0.4730392156862745,0.0021520083947816878,51,3,5,0.0026595744680851063,0.000756647258419378
Recursion (computer science),0.5241477272727273,0.007119427194109717,88,3,5,0.007978723404255319,0.005897138216792918
Delegation (computing),0.3472222222222222,0.0013095083872458344,9,3,5,0.0026595744680851063,0.0005961493275630338
List of active Solar System probes,1.0,0.0012626262626262625,1,3,3,0.0026595744680851063,0.0006789464251878117
Application domain,0.5760869565217391,0.007265631218877349,46,3,5,0.005319148936170213,0.0025811986480482186
Java bytecode,0.34576612903225806,0.0034376464182979773,62,3,5,0.015957446808510637,0.0015894446390268008
Sony,0.4868421052631579,0.0032248028450242053,19,3,5,0.007978723404255319,0.0022278766752956876
Expressive power (computer science),0.475,0.0014986145515053992,10,3,5,0.005319148936170213,0.0006528120759971831
Silicon,0.575,0.0030627335659188276,25,3,5,0.007978723404255319,0.003127113444613073
Microarchitecture,0.3639705882352941,0.0028945464783351445,34,3,5,0.007978723404255319,0.0021279960838983787
Integrated development environment,0.43478260869565216,0.002507159272625804,23,3,5,0.013297872340425532,0.0008116296603196484
Word processor,0.38839285714285715,0.005873681258473836,28,3,5,0.007978723404255319,0.0015887209802734007
Andrei Alexandrescu,0.22916666666666666,0.0012645497657164755,6,3,5,0.0026595744680851063,0.0005650922871302008
Random-access memory,0.569078947368421,0.006042495009148508,76,3,5,0.02925531914893617,0.0054033616466567114
Electronic data interchange,1.0,0.003367003367003367,1,3,3,0.0026595744680851063,0.0006079540859706931
Procedural programming,0.40816326530612246,0.0038107739651699075,49,3,5,0.010638297872340425,0.001156944812717774
"Write once, run anywhere",0.2361111111111111,0.0013349333167038348,18,3,5,0.0026595744680851063,0.0006257962882653822
Command (computing),0.265625,0.004536194866137928,40,3,5,0.0026595744680851063,0.0010114588571895964
Artificial cardiac pacemaker,0.6666666666666666,0.0021903559403559404,3,3,5,0.0026595744680851063,0.0005819255703671284
Structured programming,0.44567307692307695,0.004710093418809847,130,3,5,0.015957446808510637,0.0023955610499115884
Nokia,0.36538461538461536,0.002026421672307462,13,3,5,0.005319148936170213,0.0008332202455993502
Measuring programming language popularity,0.3005514705882353,0.0034706759947367143,68,3,5,0.005319148936170213,0.000859237021747771
Roscosmos State Corporation,0.625,0.002029220779220779,6,3,5,0.007978723404255319,0.0011337829723486762
Software relicensing,0.4722222222222222,0.0013349333167038348,18,3,5,0.0026595744680851063,0.0006257962882653822
Windows API,0.42857142857142855,0.0018096277173356282,7,3,5,0.005319148936170213,0.0005913138482294213
Auxiliary memory,0.47767857142857145,0.0017827967246393937,28,3,5,0.007978723404255319,0.002102072424518416
Object Pascal,0.19301470588235295,0.0017064281345270124,34,3,5,0.005319148936170213,0.0008332889775605949
Supercomputer,0.5022321428571429,0.0063493042116961745,168,3,5,0.023936170212765957,0.0025189294116577453
Hard disk drive,0.5743243243243243,0.004977132431610467,74,3,5,0.023936170212765957,0.0057934216598251025
Extensibility,0.375,0.011688824032182427,7,3,5,0.0026595744680851063,0.0007599327529517734
Columbia University,0.375,0.004353883664228492,2,3,5,0.0026595744680851063,0.0006154105083802112
Berkeley Software Distribution,0.2375,0.0014969083902599606,30,3,5,0.010638297872340425,0.0008935522644711472
Java (software platform),0.2267156862745098,0.003922040873225674,51,3,5,0.013297872340425532,0.0017482543802064866
Interpreter (computing),0.3754752851711027,0.017525592712171606,263,3,5,0.02925531914893617,0.007912229976150632
ARM architecture,0.375,0.0013335768242671517,14,3,5,0.007978723404255319,0.000776709096389503
Walter Bright,0.203125,0.001473536181599443,8,3,5,0.005319148936170213,0.0006610705494599438
Cursive,1.0,0.0041621751107917115,3,3,5,0.005319148936170213,0.0008824649734460754
Digraph (orthography),1.0,0.0027847646424721526,2,3,5,0.0026595744680851063,0.0006192692537884866
Software,0.5250582750582751,0.03824719516771304,429,3,5,0.08776595744680851,0.019217192065620163
Debugging,0.5769230769230769,0.004393219464425634,52,3,5,0.007978723404255319,0.0027077617332627426
Kilobyte,0.6666666666666666,0.0021903559403559404,3,3,5,0.0026595744680851063,0.0005819255703671284
IBM System z,0.625,0.006100478468899523,2,3,5,0.0026595744680851063,0.000651739042740046
D (programming language),0.3190789473684211,0.03174678535539936,19,2,5,0.018617021276595744,0.0012318875834724304
Java (programming language),0.3855140186915888,0.03700058007158334,107,2,5,0.05053191489361702,0.0032584036416099253
Bounds checking,0.4583333333333333,0.0012645497657164755,6,3,5,0.0026595744680851063,0.0005650922871302008
GNU,0.2586805555555556,0.0021248660144568966,36,3,5,0.010638297872340425,0.0011388015362974772
GNU General Public License,0.345679012345679,0.004247071120461077,81,3,5,0.023936170212765957,0.0017835544350712513
Strong and weak typing,0.3888888888888889,0.0028256860374622395,36,3,5,0.010638297872340425,0.0008379715719982624
Concurrency (computer science),0.4375,0.002209881441425785,28,3,5,0.007978723404255319,0.0012885395013994723
Volta Laboratory and Bureau,0.38636363636363635,0.0016311647553114142,11,3,5,0.0026595744680851063,0.0006871851191686082
Ada (programming language),0.3528225806451613,0.003968455192173011,62,3,5,0.02127659574468085,0.0012014393748908314
Typographic ligature,0.7857142857142857,0.009671816984069949,7,3,5,0.013297872340425532,0.004198391481498044
Graphics software,0.5978260869565217,0.002443161746267894,23,3,5,0.0026595744680851063,0.0011674320754835894
Software as a service,0.5694444444444444,0.0062012197423095584,18,3,5,0.007978723404255319,0.0015076559069083608
FreeBSD,0.30288461538461536,0.0009879377283102321,13,3,5,0.005319148936170213,0.0006356315983566221
Geocentric orbit,0.75,0.002337361712361712,8,3,5,0.010638297872340425,0.0014283232466518769
Integrated circuit,0.6294642857142857,0.010208454865004438,84,3,5,0.03723404255319149,0.008830994836356753
Data type,0.4186241610738255,0.009478198964593336,149,3,5,0.02925531914893617,0.004812586340260254
Programming language,0.4661031420765027,0.06432680160133485,732,3,5,0.14361702127659573,0.022851489781758667
Software development,0.42803030303030304,0.006868260377243129,66,3,5,0.015957446808510637,0.003087874838010051
Search engine results page,0.7,0.003909846766989624,5,3,5,0.0026595744680851063,0.0007442206336375683
Operating system,0.4358509234828496,0.032967166785390196,379,3,5,0.09574468085106383,0.011536598321588534
Domain-specific language,0.4264705882352941,0.014710666481864115,68,3,5,0.018617021276595744,0.0027619728411220233
Programming language implementation,0.5535714285714286,0.010042444891240596,119,3,5,0.007978723404255319,0.0029791985270176927
System programming,0.328125,0.030947341436707115,16,2,5,0.007978723404255319,0.0011706320007065989
System programming language,0.3355263157894737,0.001892629012158266,19,3,5,0.005319148936170213,0.0009374320403985508
System software,0.5060240963855421,0.01022347900697591,166,3,5,0.02127659574468085,0.004379591925034265
Syntax (programming languages),0.35385338345864664,0.006160724993709956,133,3,5,0.010638297872340425,0.003315921563828438
Outer space,0.7395833333333334,0.004332762145262144,12,3,5,0.007978723404255319,0.002489316584233122
OpenMP,0.3888888888888889,0.0027704346189866853,18,3,5,0.007978723404255319,0.0006734216662792696
Mobile commerce,0.5,0.003367003367003367,1,3,3,0.0026595744680851063,0.0006079540859706931
Memory cell (binary),0.55,0.001159740826292709,10,3,5,0.005319148936170213,0.0009348225262017025
