sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Software development process,0.65625,0.022982838794659448,8,3,5,0.005208333333333333,0.009092410822266452
PHP,0.8055555555555556,0.005305331720776688,36,3,5,0.0078125,0.0011287569090367186
Gmail,0.5714285714285714,0.004817027028026716,35,3,5,0.013020833333333332,0.0017542270882235692
Brightstar Corporation,0.75,0.002186187959214275,4,3,5,0.005208333333333333,0.0008802873677893899
Mergers and acquisitions,0.725,0.003210037046842993,20,3,5,0.0078125,0.0011266944772908032
Formula,0.9285714285714286,0.0024894918201554357,7,3,5,0.0026041666666666665,0.0008406536144264592
Content Engineering,0.6896551724137931,0.0018211544218973497,29,3,5,0.0026041666666666665,0.000651846228833943
Rich Internet application,0.6875,0.04060353585852115,20,2,5,0.018229166666666664,0.0019721142040953917
Embarq,0.4166666666666667,0.0016519999250262409,3,3,5,0.0026041666666666665,0.0006859345829175031
Graphics processing unit,0.5961538461538461,0.0015965813431725448,13,3,5,0.0078125,0.001229408038034621
Geographic coordinate system,0.7159090909090909,0.004594118341443763,22,3,5,0.010416666666666666,0.00258523306809536
Knockout (web framework),0.5,0.0016722408026755853,1,3,3,0.0026041666666666665,0.0006012765891957053
Google Duo,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Dynamic web page,0.4867021276595745,0.013482236020311095,47,3,5,0.018229166666666664,0.002696818833506932
Portmanteau,0.7424242424242424,0.0021632680646324178,33,3,5,0.0078125,0.0013104622861249144
Identifier,0.8653846153846154,0.004777152696313056,26,3,5,0.013020833333333332,0.0017210444081826525
Google Home,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Windows Presentation Foundation,1.0,0.0016722408026755853,1,3,3,0.0026041666666666665,0.0006012765891957053
Standish Group,0.390625,0.006009060105224953,16,3,5,0.0026041666666666665,0.0016054270763033217
Network interface controller,0.77,0.003343470389324992,25,3,5,0.0078125,0.012579764159458051
Google Photos,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Human-readable medium,0.6575,0.007213510692408793,50,3,5,0.0078125,0.0020614668127827245
File format,0.8035714285714286,0.006092636786693555,42,3,5,0.010416666666666666,0.0016677735965607875
World Wide Web Consortium,0.6815789473684211,0.013126934727980962,95,3,5,0.020833333333333332,0.003941408087759613
Dominance (economics),0.8,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
IOS,0.5896946564885496,0.009538308146403641,131,3,5,0.04427083333333333,0.005411423048524107
De facto,0.7916666666666666,0.004240285925848648,6,3,5,0.005208333333333333,0.0007190813422235848
Cross-platform,0.6474358974358975,0.009850868097162234,39,3,5,0.015625,0.0016336857811581344
New York Stock Exchange,0.7037037037037037,0.015022677608426495,27,3,5,0.015625,0.004132953361268316
Single-page application,1.0,0.038461538461538464,1,2,2,0.0026041666666666665,0.0006016722390294424
Open-source license,0.5606060606060606,0.01100875167361802,66,3,5,0.010416666666666666,0.0029945326318675993
JSON,0.5729166666666666,0.046959777460250485,24,2,5,0.020833333333333332,0.0023198548919341213
California,0.69,0.009081466187347127,25,3,5,0.015625,0.004228158561300441
Language construct,1.0,0.004807692307692308,1,3,3,0.0026041666666666665,0.0006366731314282852
XML,0.6211734693877551,0.014535401168033911,98,3,5,0.03125,0.004214258496235926
Alliance Boots,0.375,0.005608974358974359,2,3,4,0.005208333333333333,0.0008916214238033634
MEAN (software bundle),0.375,0.04195804195804196,2,2,3,0.005208333333333333,0.0006520597324063664
Robert Noyce,0.4,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
Google Drive,0.45652173913043476,0.0014433543641133994,23,3,5,0.0078125,0.0011861753785274293
Interpreter (computing),0.6576433121019108,0.015063136686687639,157,3,5,0.03125,0.005596531262003453
List of rich Internet application frameworks,0.55,0.00230656736867917,5,3,5,0.005208333333333333,0.0007862487994989633
Technology company,0.5460526315789473,0.003901200153607004,57,3,5,0.015625,0.0024371279301082216
Plug-in (computing),0.8055555555555556,0.005446277545552698,27,3,5,0.013020833333333332,0.0017057729918060493
Adobe Systems,0.8333333333333334,0.002631506568203452,18,3,5,0.0078125,0.0009149791000439538
Software,0.7698863636363636,0.07120725952622019,352,3,5,0.0859375,0.036036487253437395
Java (programming language),0.7699115044247787,0.010844180124303625,113,3,5,0.028645833333333332,0.002925736132875647
Wolfram Mathematica,0.7125,0.00645175709697801,20,3,5,0.010416666666666666,0.001498161788042521
Scheme (programming language),0.676923076923077,0.0029329096404119414,65,3,5,0.010416666666666666,0.0011185727907823456
